+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 40267 | 0   | 40267 | 0     | 0   | 0   | POST   | /api/chair/coordinate               | 0.001 | 0.264 | 605.607 | 0.015 | 0.031 | 0.045 | 0.078 | 0.016  | 29.000     | 29.000     | 1167743.000  | 29.000     |
| 4431  | 0   | 4431  | 0     | 0   | 0   | GET    | /api/app/notification               | 0.002 | 0.398 | 148.109 | 0.033 | 0.089 | 0.130 | 0.224 | 0.045  | 261.000    | 458.000    | 1677046.000  | 378.480    |
| 3445  | 0   | 3445  | 0     | 0   | 0   | GET    | /api/chair/notification             | 0.001 | 0.254 | 71.748  | 0.021 | 0.051 | 0.071 | 0.130 | 0.026  | 35.000     | 272.000    | 854015.000   | 247.900    |
| 282   | 0   | 282   | 0     | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.038 | 1.797 | 66.272  | 0.235 | 0.547 | 0.804 | 1.368 | 0.302  | 30.000     | 30.000     | 8460.000     | 30.000     |
| 775   | 0   | 775   | 0     | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.004 | 0.322 | 44.491  | 0.057 | 0.134 | 0.167 | 0.280 | 0.054  | 42.000     | 1299.000   | 151720.000   | 195.768    |
| 670   | 0   | 670   | 0     | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.009 | 0.181 | 17.845  | 0.027 | 0.048 | 0.067 | 0.101 | 0.019  | 0.000      | 0.000      | 0.000        | 0.000      |
| 387   | 0   | 387   | 0     | 0   | 0   | POST   | /api/app/rides                      | 0.008 | 0.338 | 17.404  | 0.045 | 0.108 | 0.149 | 0.216 | 0.047  | 51.000     | 53.000     | 20081.000    | 51.889     |
| 778   | 0   | 778   | 0     | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.352 | 14.910  | 0.019 | 0.051 | 0.100 | 0.236 | 0.044  | 12.000     | 2158.000   | 284323.000   | 365.454    |
| 150   | 0   | 150   | 0     | 0   | 0   | GET    | /api/owner/sales                    | 0.007 | 0.445 | 8.826   | 0.059 | 0.196 | 0.277 | 0.364 | 0.088  | 389.000    | 9017.000   | 161532.000   | 1076.880   |
