+-------+-----+-------+------+-----+-----+--------+----------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                                 URI                                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+----------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 14861 | 0   | 14861 | 0    | 0   | 0   | POST   | /api/chair/coordinate                                                | 0.008 | 0.116 | 516.829 | 0.035 | 0.046 | 0.051 | 0.064 | 0.010  | 29.000     | 29.000     | 430969.000   | 29.000     |
| 1577  | 0   | 1577  | 0    | 0   | 0   | GET    | /api/app/notification                                                | 0.002 | 0.086 | 29.005  | 0.018 | 0.034 | 0.040 | 0.053 | 0.012  | 262.000    | 458.000    | 598782.000   | 379.697    |
| 2050  | 0   | 2050  | 0    | 0   | 0   | GET    | /api/chair/notification                                              | 0.001 | 0.118 | 27.733  | 0.014 | 0.028 | 0.034 | 0.050 | 0.012  | 35.000     | 269.000    | 439996.000   | 214.632    |
| 25    | 0   | 2     | 0    | 9   | 14  | POST   | /api/initialize                                                      | 0.170 | 2.487 | 11.618  | 0.465 | 2.397 | 2.445 | 2.487 | 0.860  | 17.000     | 783.000    | 8997.000     | 359.880    |
| 10582 | 0   | 10564 | 0    | 0   | 18  | GET    | /api/internal/matching                                               | 0.012 | 0.056 | 11.287  | 0.001 | 0.001 | 0.001 | 0.009 | 0.002  | 0.000      | 166.000    | 2891.000     | 0.273      |
| 120   | 0   | 120   | 0    | 0   | 0   | GET    | /api/app/nearby-chairs                                               | 0.018 | 0.247 | 10.299  | 0.086 | 0.152 | 0.174 | 0.239 | 0.047  | 42.000     | 1339.000   | 43830.000    | 365.250    |
| 80    | 0   | 80    | 0    | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation                                  | 0.040 | 0.511 | 6.555   | 0.082 | 0.078 | 0.352 | 0.511 | 0.099  | 30.000     | 30.000     | 2400.000     | 30.000     |
| 140   | 0   | 140   | 0    | 0   | 0   | GET    | /api/owner/sales                                                     | 0.012 | 0.095 | 5.088   | 0.036 | 0.058 | 0.062 | 0.080 | 0.017  | 378.000    | 9017.000   | 99983.000    | 714.164    |
| 177   | 0   | 177   | 0    | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status                                    | 0.007 | 0.047 | 3.294   | 0.019 | 0.029 | 0.032 | 0.043 | 0.007  | 0.000      | 0.000      | 0.000        | 0.000      |
| 100   | 0   | 100   | 0    | 0   | 0   | POST   | /api/app/rides                                                       | 0.010 | 0.070 | 2.486   | 0.025 | 0.039 | 0.049 | 0.069 | 0.013  | 51.000     | 53.000     | 5183.000     | 51.830     |
| 74    | 0   | 74    | 0    | 0   | 0   | POST   | /api/app/payment-methods                                             | 0.009 | 0.138 | 2.449   | 0.033 | 0.120 | 0.127 | 0.138 | 0.037  | 0.000      | 0.000      | 0.000        | 0.000      |
| 2     | 0   | 0     | 0    | 2   | 0   | POST   | -                                                                    | 0.822 | 1.082 | 1.904   | 0.952 | 1.082 | 1.082 | 1.082 | 0.130  | 166.000    | 166.000    | 332.000      | 166.000    |
| 49    | 0   | 49    | 0    | 0   | 0   | POST   | /api/chair/activity                                                  | 0.011 | 0.141 | 1.718   | 0.035 | 0.048 | 0.135 | 0.141 | 0.032  | 0.000      | 0.000      | 0.000        | 0.000      |
| 84    | 0   | 84    | 0    | 0   | 0   | POST   | /api/app/users                                                       | 0.005 | 0.045 | 1.338   | 0.016 | 0.027 | 0.029 | 0.045 | 0.008  | 86.000     | 86.000     | 7224.000     | 86.000     |
| 167   | 0   | 167   | 0    | 0   | 0   | GET    | /api/owner/chairs                                                    | 0.001 | 0.065 | 0.953   | 0.006 | 0.013 | 0.014 | 0.018 | 0.006  | 572.000    | 19007.000  | 216911.000   | 1298.868   |
| 123   | 0   | 123   | 0    | 0   | 0   | GET    | /api/app/rides                                                       | 0.001 | 0.054 | 0.804   | 0.007 | 0.013 | 0.020 | 0.027 | 0.007  | 12.000     | 2158.000   | 24080.000    | 195.772    |
| 69    | 0   | 69    | 0    | 0   | 0   | POST   | /api/chair/chairs                                                    | 0.006 | 0.044 | 0.789   | 0.011 | 0.020 | 0.022 | 0.044 | 0.006  | 75.000     | 75.000     | 5175.000     | 75.000     |
| 104   | 0   | 104   | 0    | 0   | 0   | POST   | /api/app/rides/estimated-fare                                        | 0.001 | 0.016 | 0.386   | 0.004 | 0.009 | 0.011 | 0.016 | 0.003  | 26.000     | 29.000     | 2917.000     | 28.048     |
| 2     | 0   | 0     | 0    | 2   | 0   | -      | -                                                                    | 0.126 | 0.169 | 0.295   | 0.148 | 0.169 | 0.169 | 0.169 | 0.022  | 166.000    | 166.000    | 332.000      | 166.000    |
| 8710  | 0   | 2835  | 5875 | 0   | 0   | GET    | /assets.*                                                            | 0.000 | 0.015 | 0.122   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 184569.000 | 40577684.000 | 4658.747   |
| 10    | 0   | 10    | 0    | 0   | 0   | POST   | /api/owner/owners                                                    | 0.005 | 0.007 | 0.061   | 0.006 | 0.007 | 0.007 | 0.007 | 0.001  | 125.000    | 125.000    | 1250.000     | 125.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /api/owner/sales?                                                    | 0.039 | 0.039 | 0.039   | 0.039 | 0.039 | 0.039 | 0.039 | 0.000  | 9183.000   | 9183.000   | 9183.000     | 9183.000   |
| 17    | 0   | 17    | 0    | 0   | 0   | GET    | /images/top-bg.png                                                   | 0.000 | 0.018 | 0.026   | 0.002 | 0.002 | 0.018 | 0.018 | 0.004  | 549793.000 | 549793.000 | 9346481.000  | 549793.000 |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /images/town.svg                                                     | 0.000 | 0.001 | 0.003   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 128735.000 | 12873500.000 | 42911.667  |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 16    | 0   | 16    | 0    | 0   | 0   | GET    | /index.html                                                          | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000    | 704.000    | 11264.000    | 704.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /ws/ec/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php            | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /V2/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /tests/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php            | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /test/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /testing/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php          | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /demo/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /cms/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /crm/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
