+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 22196 | 0   | 22196 | 0     | 0   | 0   | POST   | /api/chair/coordinate               | 0.006 | 0.167 | 768.376 | 0.035 | 0.050 | 0.058 | 0.076 | 0.013  | 29.000     | 29.000     | 643684.000   | 29.000     |
| 2432  | 0   | 2432  | 0     | 0   | 0   | GET    | /api/app/notification               | 0.002 | 0.159 | 58.357  | 0.024 | 0.048 | 0.067 | 0.103 | 0.021  | 262.000    | 456.000    | 951490.000   | 391.238    |
| 2612  | 0   | 2612  | 0     | 0   | 0   | GET    | /api/chair/notification             | 0.001 | 0.103 | 39.487  | 0.015 | 0.033 | 0.043 | 0.064 | 0.014  | 35.000     | 272.000    | 604869.000   | 231.573    |
| 374   | 0   | 374   | 0     | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.004 | 0.221 | 22.849  | 0.061 | 0.115 | 0.146 | 0.201 | 0.040  | 42.000     | 1575.000   | 103979.000   | 278.019    |
| 155   | 0   | 155   | 0     | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.038 | 0.535 | 15.487  | 0.100 | 0.356 | 0.416 | 0.524 | 0.122  | 30.000     | 30.000     | 4650.000     | 30.000     |
| 359   | 0   | 359   | 0     | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.007 | 0.076 | 8.207   | 0.023 | 0.039 | 0.045 | 0.062 | 0.011  | 0.000      | 0.000      | 0.000        | 0.000      |
| 150   | 0   | 150   | 0     | 0   | 0   | GET    | /api/owner/sales                    | 0.009 | 0.140 | 6.729   | 0.045 | 0.086 | 0.115 | 0.135 | 0.029  | 378.000    | 9017.000   | 126924.000   | 846.160    |
| 200   | 0   | 200   | 0     | 0   | 0   | POST   | /api/app/rides                      | 0.009 | 0.109 | 6.563   | 0.033 | 0.061 | 0.072 | 0.099 | 0.020  | 51.000     | 53.000     | 10361.000    | 51.805     |
| 3094  | 0   | 3085  | 0     | 0   | 9   | GET    | /api/internal/matching              | 0.001 | 0.090 | 4.902   | 0.002 | 0.001 | 0.001 | 0.023 | 0.005  | 0.000      | 150.000    | 1350.000     | 0.436      |
| 377   | 0   | 377   | 0     | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.144 | 4.278   | 0.011 | 0.026 | 0.039 | 0.086 | 0.016  | 12.000     | 2499.000   | 127033.000   | 336.958    |
| 113   | 0   | 113   | 0     | 0   | 0   | POST   | /api/app/payment-methods            | 0.007 | 0.100 | 2.809   | 0.025 | 0.034 | 0.098 | 0.100 | 0.024  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1     | 0   | 1     | 0     | 0   | 0   | POST   | /api/initialize                     | 2.376 | 2.376 | 2.376   | 2.376 | 2.376 | 2.376 | 2.376 | 0.000  | 17.000     | 17.000     | 17.000       | 17.000     |
| 68    | 0   | 68    | 0     | 0   | 0   | POST   | /api/chair/activity                 | 0.007 | 0.116 | 2.375   | 0.035 | 0.114 | 0.115 | 0.116 | 0.033  | 0.000      | 0.000      | 0.000        | 0.000      |
| 113   | 0   | 113   | 0     | 0   | 0   | POST   | /api/app/users                      | 0.003 | 0.061 | 2.126   | 0.019 | 0.031 | 0.039 | 0.055 | 0.010  | 86.000     | 86.000     | 9718.000     | 86.000     |
| 204   | 0   | 204   | 0     | 0   | 0   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.058 | 1.432   | 0.007 | 0.015 | 0.020 | 0.041 | 0.008  | 26.000     | 29.000     | 5651.000     | 27.701     |
| 68    | 0   | 68    | 0     | 0   | 0   | POST   | /api/chair/chairs                   | 0.006 | 0.029 | 0.949   | 0.014 | 0.023 | 0.026 | 0.029 | 0.006  | 75.000     | 75.000     | 5100.000     | 75.000     |
| 166   | 0   | 166   | 0     | 0   | 0   | GET    | /api/owner/chairs                   | 0.001 | 0.025 | 0.633   | 0.004 | 0.009 | 0.013 | 0.016 | 0.004  | 576.000    | 19000.000  | 250048.000   | 1506.313   |
| 14202 | 0   | 2734  | 11468 | 0   | 0   | GET    | /assets.*                           | 0.000 | 0.009 | 0.163   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 184569.000 | 42141409.000 | 2967.287   |
| 5     | 0   | 5     | 0     | 0   | 0   | POST   | /api/owner/owners                   | 0.006 | 0.009 | 0.033   | 0.007 | 0.009 | 0.009 | 0.009 | 0.001  | 125.000    | 125.000    | 625.000      | 125.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /api/owner/sales?                   | 0.030 | 0.030 | 0.030   | 0.030 | 0.030 | 0.030 | 0.030 | 0.000  | 9183.000   | 9183.000   | 9183.000     | 9183.000   |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /images/town.svg                    | 0.000 | 0.001 | 0.003   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 128735.000 | 14675790.000 | 22823.935  |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /images/top-bg.png                  | 0.001 | 0.001 | 0.001   | 0.001 | 0.001 | 0.001 | 0.001 | 0.000  | 549793.000 | 549793.000 | 549793.000   | 549793.000 |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /images/house1.svg                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2903.000   | 330942.000   | 514.684    |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /images/buildings5.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9858.000   | 1123812.000  | 1747.764   |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /images/buildings2.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23825.000  | 2716050.000  | 4224.028   |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /images/buildings6.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9454.000   | 1077756.000  | 1676.137   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /index.html                         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000    | 704.000    | 704.000      | 704.000    |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /images/buildings3.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23793.000  | 2712402.000  | 4218.355   |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /images/buildings1.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 13886.000  | 1583004.000  | 2461.904   |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /images/house2.svg                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 6430.000   | 733020.000   | 1140.000   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /images/top-logo.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 4749.000   | 4749.000   | 4749.000     | 4749.000   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000   | 1020.000   | 1020.000     | 1020.000   |
| 171   | 0   | 6     | 165   | 0   | 0   | GET    | /owner                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 4224.000     | 24.702     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000    | 783.000    | 783.000      | 783.000    |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /images/buildings4.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 4582.000   | 522348.000   | 812.361    |
| 643   | 0   | 114   | 529   | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 80256.000    | 124.815    |
| 814   | 0   | 120   | 694   | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 336.000    | 40320.000    | 49.533     |
| 814   | 0   | 119   | 695   | 0   | 0   | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 16958.000  | 2018002.000  | 2479.118   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /                                   | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 615.000    | 615.000    | 615.000      | 615.000    |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
