+-------+-----+-------+------+-----+-----+--------+-------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                             URI                             |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+-------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 13339 | 0   | 13339 | 0    | 0   | 0   | POST   | /api/chair/coordinate                                       | 0.005 | 0.082 | 254.610 | 0.019 | 0.025 | 0.028 | 0.035 | 0.005  | 29.000     | 29.000     | 386831.000   | 29.000     |
| 2208  | 0   | 2208  | 0    | 0   | 0   | GET    | /api/app/notification                                       | 0.001 | 0.069 | 19.041  | 0.009 | 0.019 | 0.023 | 0.033 | 0.007  | 262.000    | 454.000    | 717007.000   | 324.731    |
| 2253  | 0   | 2253  | 0    | 0   | 0   | GET    | /api/chair/notification                                     | 0.001 | 0.072 | 15.176  | 0.007 | 0.016 | 0.020 | 0.032 | 0.008  | 35.000     | 272.000    | 486506.000   | 215.937    |
| 146   | 0   | 146   | 0    | 0   | 0   | GET    | /api/app/nearby-chairs                                      | 0.011 | 0.204 | 9.954   | 0.068 | 0.141 | 0.183 | 0.203 | 0.046  | 42.000     | 2092.000   | 82762.000    | 566.863    |
| 88    | 0   | 88    | 0    | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation                         | 0.036 | 0.911 | 9.327   | 0.106 | 0.355 | 0.481 | 0.911 | 0.176  | 30.000     | 30.000     | 2640.000     | 30.000     |
| 2     | 0   | 0     | 0    | 2   | 0   | POST   | -                                                           | 1.459 | 2.572 | 4.031   | 2.016 | 2.572 | 2.572 | 2.572 | 0.556  | 166.000    | 166.000    | 332.000      | 166.000    |
| 150   | 0   | 150   | 0    | 0   | 0   | GET    | /api/owner/sales                                            | 0.008 | 0.044 | 3.219   | 0.021 | 0.030 | 0.034 | 0.044 | 0.007  | 376.000    | 9017.000   | 110758.000   | 738.387    |
| 1451  | 0   | 1448  | 0    | 0   | 3   | GET    | /api/internal/matching                                      | 0.014 | 0.057 | 2.900   | 0.002 | 0.002 | 0.010 | 0.021 | 0.004  | 0.000      | 150.000    | 450.000      | 0.310      |
| 195   | 0   | 195   | 0    | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status                           | 0.006 | 0.078 | 2.813   | 0.014 | 0.020 | 0.022 | 0.026 | 0.006  | 0.000      | 0.000      | 0.000        | 0.000      |
| 135   | 0   | 135   | 0    | 0   | 0   | POST   | /api/app/rides                                              | 0.007 | 0.061 | 2.518   | 0.019 | 0.028 | 0.031 | 0.034 | 0.008  | 51.000     | 53.000     | 7002.000     | 51.867     |
| 1     | 0   | 1     | 0    | 0   | 0   | POST   | /api/initialize                                             | 2.477 | 2.477 | 2.477   | 2.477 | 2.477 | 2.477 | 2.477 | 0.000  | 17.000     | 17.000     | 17.000       | 17.000     |
| 81    | 0   | 81    | 0    | 0   | 0   | POST   | /api/app/payment-methods                                    | 0.007 | 0.123 | 2.106   | 0.026 | 0.107 | 0.107 | 0.123 | 0.032  | 0.000      | 0.000      | 0.000        | 0.000      |
