+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 36784 | 0   | 36675 | 0     | 0   | 109 | POST   | /api/chair/coordinate               | 0.001 | 0.382 | 1547.521 | 0.042 | 0.096 | 0.124 | 0.189 | 0.040  | 29.000     | 54.000     | 1068757.000  | 29.055     |
| 10224 | 0   | 10189 | 0     | 0   | 35  | GET    | /api/app/notification               | 0.001 | 0.664 | 1143.318 | 0.112 | 0.272 | 0.337 | 0.475 | 0.111  | 46.000     | 457.000    | 3914141.000  | 382.839    |
| 12310 | 0   | 12249 | 0     | 0   | 61  | GET    | /api/chair/notification             | 0.001 | 0.452 | 772.593  | 0.063 | 0.148 | 0.182 | 0.254 | 0.061  | 34.000     | 271.000    | 2842755.000  | 230.931    |
| 362   | 0   | 362   | 0     | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.040 | 2.021 | 124.782  | 0.345 | 0.727 | 0.993 | 1.452 | 0.331  | 30.000     | 30.000     | 10860.000    | 30.000     |
| 738   | 0   | 738   | 0     | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.004 | 0.489 | 98.929   | 0.134 | 0.248 | 0.300 | 0.399 | 0.086  | 42.000     | 3087.000   | 268944.000   | 364.423    |
| 743   | 0   | 741   | 0     | 0   | 2   | GET    | /api/app/rides                      | 0.001 | 0.811 | 64.151   | 0.086 | 0.282 | 0.394 | 0.548 | 0.130  | 12.000     | 2866.000   | 351271.000   | 472.774    |
| 440   | 0   | 440   | 0     | 0   | 0   | POST   | /api/app/rides                      | 0.010 | 0.551 | 61.574   | 0.140 | 0.282 | 0.330 | 0.452 | 0.105  | 51.000     | 53.000     | 22832.000    | 51.891     |
| 807   | 0   | 801   | 0     | 0   | 6   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.001 | 0.251 | 49.605   | 0.061 | 0.124 | 0.155 | 0.215 | 0.045  | 0.000      | 46.000     | 276.000      | 0.342      |
| 156   | 0   | 156   | 0     | 0   | 0   | GET    | /api/owner/sales                    | 0.010 | 0.826 | 37.414   | 0.240 | 0.605 | 0.702 | 0.807 | 0.233  | 384.000    | 9017.000   | 208267.000   | 1335.045   |
| 445   | 0   | 444   | 0     | 0   | 1   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.220 | 18.132   | 0.041 | 0.105 | 0.132 | 0.188 | 0.044  | 26.000     | 54.000     | 12305.000    | 27.652     |
| 185   | 0   | 182   | 0     | 0   | 3   | POST   | /api/app/users                      | 0.003 | 0.325 | 8.387    | 0.045 | 0.111 | 0.139 | 0.257 | 0.048  | 54.000     | 100.000    | 15906.000    | 85.978     |
| 298   | 0   | 297   | 0     | 0   | 1   | GET    | /api/internal/matching              | 0.001 | 0.288 | 7.728    | 0.026 | 0.098 | 0.145 | 0.228 | 0.050  | 0.000      | 54.000     | 54.000       | 0.181      |
| 187   | 0   | 182   | 0     | 0   | 5   | POST   | /api/app/payment-methods            | 0.001 | 0.166 | 5.409    | 0.029 | 0.070 | 0.084 | 0.148 | 0.028  | 0.000      | 46.000     | 230.000      | 1.230      |
| 124   | 0   | 124   | 0     | 0   | 0   | POST   | /api/chair/activity                 | 0.009 | 0.221 | 4.870    | 0.039 | 0.075 | 0.094 | 0.195 | 0.036  | 0.000      | 0.000      | 0.000        | 0.000      |
| 126   | 0   | 126   | 0     | 0   | 0   | POST   | /api/chair/chairs                   | 0.006 | 0.117 | 2.841    | 0.023 | 0.048 | 0.060 | 0.085 | 0.019  | 75.000     | 75.000     | 9450.000     | 75.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | POST   | /api/initialize                     | 2.613 | 2.613 | 2.613    | 2.613 | 2.613 | 2.613 | 2.613 | 0.000  | 17.000     | 17.000     | 17.000       | 17.000     |
| 166   | 0   | 166   | 0     | 0   | 0   | GET    | /api/owner/chairs                   | 0.001 | 0.104 | 2.608    | 0.016 | 0.043 | 0.060 | 0.102 | 0.021  | 752.000    | 19000.000  | 428652.000   | 2582.241   |
| 25601 | 0   | 4387  | 21214 | 0   | 0   | GET    | /assets.*                           | 0.000 | 0.004 | 0.152    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 184569.000 | 67601626.000 | 2640.585   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /api/owner/sales?                   | 0.051 | 0.051 | 0.051    | 0.051 | 0.051 | 0.051 | 0.051 | 0.000  | 9183.000   | 9183.000   | 9183.000     | 9183.000   |
| 5     | 0   | 5     | 0     | 0   | 0   | POST   | /api/owner/owners                   | 0.006 | 0.009 | 0.034    | 0.007 | 0.009 | 0.009 | 0.009 | 0.001  | 125.000    | 125.000    | 625.000      | 125.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /images/top-logo.svg                | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 4749.000   | 4749.000   | 4749.000     | 4749.000   |
| 171   | 0   | 6     | 165   | 0   | 0   | GET    | /owner                              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 4224.000     | 24.702     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /images/top-bg.png                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 549793.000 | 549793.000 | 549793.000   | 549793.000 |
| 1288  | 0   | 186   | 1102  | 0   | 0   | GET    | /images/buildings4.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 4582.000   | 852252.000   | 661.686    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000    | 783.000    | 783.000      | 783.000    |
| 1288  | 0   | 186   | 1102  | 0   | 0   | GET    | /images/buildings2.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23825.000  | 4431450.000  | 3440.567   |
| 1288  | 0   | 186   | 1102  | 0   | 0   | GET    | /images/buildings5.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9858.000   | 1833588.000  | 1423.593   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000   | 1020.000   | 1020.000     | 1020.000   |
