+-------+-----+-------+------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 15020 | 0   | 15013 | 0    | 7   | 0   | GET    | /api/chair/notification             | 0.001 | 0.298 | 957.886 | 0.064 | 0.130 | 0.154 | 0.200 | 0.046  | 0.000      | 270.000    | 2934966.000  | 195.404    |
| 7939  | 0   | 7930  | 0    | 9   | 0   | GET    | /api/app/notification               | 0.002 | 0.451 | 927.198 | 0.117 | 0.211 | 0.248 | 0.328 | 0.068  | 0.000      | 439.000    | 2984062.000  | 375.874    |
| 7200  | 0   | 7200  | 0    | 0   | 0   | POST   | /api/chair/coordinate               | 0.012 | 0.336 | 673.908 | 0.094 | 0.155 | 0.176 | 0.219 | 0.044  | 29.000     | 29.000     | 208800.000   | 29.000     |
| 88    | 0   | 88    | 0    | 0   | 0   | GET    | /api/owner/chairs                   | 0.159 | 3.101 | 196.346 | 2.231 | 2.635 | 2.819 | 3.101 | 0.415  | 748.000    | 19007.000  | 92683.000    | 1053.216   |
| 69    | 0   | 69    | 0    | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.078 | 1.585 | 48.035  | 0.696 | 1.271 | 1.346 | 1.585 | 0.399  | 42.000     | 909.000    | 16829.000    | 243.899    |
| 1950  | 0   | 1941  | 0    | 0   | 9   | GET    | /api/internal/matching              | 0.014 | 0.345 | 8.955   | 0.005 | 0.002 | 0.002 | 0.127 | 0.024  | 0.000      | 166.000    | 1494.000     | 0.766      |
| 55    | 0   | 55    | 0    | 0   | 0   | POST   | /api/app/rides                      | 0.032 | 0.439 | 8.240   | 0.150 | 0.281 | 0.305 | 0.439 | 0.088  | 51.000     | 52.000     | 2845.000     | 51.727     |
| 82    | 0   | 82    | 0    | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.018 | 0.186 | 5.956   | 0.073 | 0.127 | 0.138 | 0.186 | 0.038  | 0.000      | 0.000      | 0.000        | 0.000      |
| 30    | 0   | 30    | 0    | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.099 | 0.489 | 5.832   | 0.194 | 0.243 | 0.409 | 0.489 | 0.084  | 30.000     | 30.000     | 900.000      | 30.000     |
