+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 19552 | 0   | 19552 | 0     | 0   | 0   | POST   | /api/chair/coordinate               | 0.007 | 0.198 | 684.626 | 0.035 | 0.049 | 0.059 | 0.096 | 0.015  | 29.000     | 29.000     | 567008.000   | 29.000     |
| 597   | 0   | 387   | 0     | 0   | 210 | GET    | /api/app/nearby-chairs              | 0.001 | 0.714 | 68.990  | 0.116 | 0.290 | 0.469 | 0.655 | 0.149  | 42.000     | 1765.000   | 146704.000   | 245.735    |
| 2190  | 0   | 2190  | 0     | 0   | 0   | GET    | /api/app/notification               | 0.001 | 0.277 | 61.956  | 0.028 | 0.061 | 0.094 | 0.156 | 0.030  | 262.000    | 454.000    | 865604.000   | 395.253    |
| 2600  | 0   | 2600  | 0     | 0   | 0   | GET    | /api/chair/notification             | 0.001 | 0.137 | 44.466  | 0.017 | 0.038 | 0.051 | 0.074 | 0.016  | 35.000     | 272.000    | 581834.000   | 223.782    |
| 2999  | 0   | 2988  | 0     | 0   | 11  | GET    | /api/internal/matching              | 0.012 | 0.102 | 17.766  | 0.006 | 0.007 | 0.007 | 0.024 | 0.005  | 0.000      | 150.000    | 1026.000     | 0.342      |
| 141   | 0   | 141   | 0     | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.039 | 0.927 | 17.147  | 0.122 | 0.392 | 0.491 | 0.918 | 0.183  | 30.000     | 30.000     | 4230.000     | 30.000     |
| 332   | 0   | 332   | 0     | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.007 | 0.108 | 8.493   | 0.026 | 0.046 | 0.056 | 0.081 | 0.016  | 0.000      | 0.000      | 0.000        | 0.000      |
| 189   | 0   | 189   | 0     | 0   | 0   | POST   | /api/app/rides                      | 0.008 | 0.154 | 6.701   | 0.035 | 0.072 | 0.098 | 0.150 | 0.027  | 51.000     | 53.000     | 9790.000     | 51.799     |
| 603   | 0   | 603   | 0     | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.216 | 6.318   | 0.010 | 0.020 | 0.031 | 0.131 | 0.021  | 12.000     | 2158.000   | 100566.000   | 166.776    |
