+-------+-----+-------+------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 11139 | 0   | 11139 | 0    | 0   | 0   | POST   | /api/chair/coordinate               | 0.007 | 0.153 | 357.669 | 0.032 | 0.048 | 0.053 | 0.066 | 0.012  | 29.000     | 29.000     | 323031.000   | 29.000     |
| 146   | 0   | 146   | 0    | 0   | 0   | GET    | /api/owner/chairs                   | 0.166 | 2.192 | 216.049 | 1.480 | 1.873 | 2.013 | 2.176 | 0.337  | 753.000    | 19007.000  | 147423.000   | 1009.747   |
| 1357  | 0   | 1357  | 0    | 0   | 0   | GET    | /api/app/notification               | 0.002 | 0.119 | 43.767  | 0.032 | 0.061 | 0.070 | 0.085 | 0.021  | 262.000    | 455.000    | 492661.000   | 363.052    |
| 1606  | 0   | 1606  | 0    | 0   | 0   | GET    | /api/chair/notification             | 0.001 | 0.145 | 32.606  | 0.020 | 0.041 | 0.049 | 0.091 | 0.019  | 35.000     | 271.000    | 337902.000   | 210.400    |
| 97    | 0   | 97    | 0    | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.027 | 0.544 | 17.497  | 0.180 | 0.330 | 0.393 | 0.544 | 0.112  | 42.000     | 1372.000   | 33462.000    | 344.969    |
| 56    | 0   | 56    | 0    | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.041 | 0.393 | 4.666   | 0.083 | 0.098 | 0.105 | 0.393 | 0.061  | 30.000     | 30.000     | 1680.000     | 30.000     |
| 1887  | 0   | 1883  | 0    | 0   | 4   | GET    | /api/internal/matching              | 0.000 | 0.088 | 3.807   | 0.002 | 0.001 | 0.002 | 0.039 | 0.007  | 166.000    | 166.000    | 664.000      | 0.352      |
| 132   | 0   | 132   | 0    | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.010 | 0.052 | 3.690   | 0.028 | 0.043 | 0.045 | 0.047 | 0.010  | 0.000      | 0.000      | 0.000        | 0.000      |
| 82    | 0   | 82    | 0    | 0   | 0   | POST   | /api/app/rides                      | 0.013 | 0.101 | 3.664   | 0.045 | 0.074 | 0.078 | 0.101 | 0.020  | 51.000     | 53.000     | 4249.000     | 51.817     |
| 63    | 0   | 63    | 0    | 0   | 0   | POST   | /api/app/payment-methods            | 0.009 | 0.171 | 2.707   | 0.043 | 0.155 | 0.164 | 0.171 | 0.051  | 0.000      | 0.000      | 0.000        | 0.000      |
