+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 20975 | 0   | 20975 | 0     | 0   | 0   | POST   | /api/chair/coordinate               | 0.008 | 0.218 | 940.328 | 0.045 | 0.076 | 0.092 | 0.129 | 0.024  | 29.000     | 29.000     | 608275.000   | 29.000     |
| 2340  | 0   | 2340  | 0     | 0   | 0   | GET    | /api/app/notification               | 0.001 | 0.281 | 114.288 | 0.049 | 0.108 | 0.135 | 0.190 | 0.044  | 261.000    | 452.000    | 936372.000   | 400.159    |
| 343   | 0   | 343   | 0     | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.020 | 0.653 | 91.180  | 0.266 | 0.498 | 0.538 | 0.632 | 0.160  | 42.000     | 1087.000   | 73776.000    | 215.090    |
| 2510  | 0   | 2510  | 0     | 0   | 0   | GET    | /api/chair/notification             | 0.001 | 0.176 | 67.876  | 0.027 | 0.060 | 0.075 | 0.102 | 0.024  | 35.000     | 272.000    | 599740.000   | 238.940    |
| 145   | 0   | 145   | 0     | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.040 | 1.230 | 19.838  | 0.137 | 0.406 | 0.486 | 0.797 | 0.164  | 30.000     | 30.000     | 4350.000     | 30.000     |
| 336   | 0   | 336   | 0     | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.007 | 0.117 | 10.958  | 0.033 | 0.056 | 0.069 | 0.085 | 0.017  | 0.000      | 0.000      | 0.000        | 0.000      |
| 189   | 0   | 189   | 0     | 0   | 0   | POST   | /api/app/rides                      | 0.009 | 0.201 | 10.135  | 0.054 | 0.102 | 0.131 | 0.166 | 0.036  | 51.000     | 53.000     | 9793.000     | 51.815     |
| 346   | 0   | 346   | 0     | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.248 | 8.735   | 0.025 | 0.061 | 0.110 | 0.214 | 0.038  | 12.000     | 2170.000   | 87514.000    | 252.931    |
| 142   | 0   | 142   | 0     | 0   | 0   | GET    | /api/owner/sales                    | 0.012 | 0.217 | 8.626   | 0.061 | 0.136 | 0.163 | 0.207 | 0.050  | 413.000    | 9017.000   | 123356.000   | 868.704    |
| 247   | 0   | 244   | 0     | 0   | 3   | GET    | /api/internal/matching              | 0.001 | 0.138 | 3.124   | 0.013 | 0.053 | 0.069 | 0.118 | 0.025  | 0.000      | 150.000    | 450.000      | 1.822      |
| 112   | 0   | 112   | 0     | 0   | 0   | POST   | /api/app/payment-methods            | 0.008 | 0.117 | 3.044   | 0.027 | 0.044 | 0.109 | 0.110 | 0.027  | 0.000      | 0.000      | 0.000        | 0.000      |
| 113   | 0   | 112   | 0     | 0   | 1   | POST   | /api/app/users                      | 0.006 | 0.101 | 2.733   | 0.024 | 0.046 | 0.055 | 0.079 | 0.017  | 86.000     | 88.000     | 9720.000     | 86.018     |
| 1     | 0   | 1     | 0     | 0   | 0   | POST   | /api/initialize                     | 2.446 | 2.446 | 2.446   | 2.446 | 2.446 | 2.446 | 2.446 | 0.000  | 17.000     | 17.000     | 17.000       | 17.000     |
| 67    | 0   | 67    | 0     | 0   | 0   | POST   | /api/chair/activity                 | 0.010 | 0.125 | 2.424   | 0.036 | 0.118 | 0.119 | 0.125 | 0.032  | 0.000      | 0.000      | 0.000        | 0.000      |
| 193   | 0   | 193   | 0     | 0   | 0   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.047 | 2.176   | 0.011 | 0.024 | 0.029 | 0.045 | 0.009  | 26.000     | 29.000     | 5355.000     | 27.746     |
| 166   | 0   | 166   | 0     | 0   | 0   | GET    | /api/owner/chairs                   | 0.001 | 0.035 | 1.303   | 0.008 | 0.020 | 0.023 | 0.032 | 0.008  | 580.000    | 19000.000  | 247485.000   | 1490.873   |
| 67    | 0   | 67    | 0     | 0   | 0   | POST   | /api/chair/chairs                   | 0.006 | 0.043 | 1.149   | 0.017 | 0.032 | 0.037 | 0.043 | 0.010  | 75.000     | 75.000     | 5025.000     | 75.000     |
| 13504 | 0   | 2733  | 10771 | 0   | 0   | GET    | /assets.*                           | 0.000 | 0.007 | 0.191   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 184569.000 | 42140380.000 | 3120.585   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /api/owner/sales?                   | 0.032 | 0.032 | 0.032   | 0.032 | 0.032 | 0.032 | 0.032 | 0.000  | 9183.000   | 9183.000   | 9183.000     | 9183.000   |
| 5     | 0   | 5     | 0     | 0   | 0   | POST   | /api/owner/owners                   | 0.005 | 0.006 | 0.029   | 0.006 | 0.006 | 0.006 | 0.006 | 0.000  | 125.000    | 125.000    | 625.000      | 125.000    |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/town.svg                    | 0.000 | 0.002 | 0.005   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 128735.000 | 14675790.000 | 24378.389  |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /images/top-bg.png                  | 0.001 | 0.001 | 0.001   | 0.001 | 0.001 | 0.001 | 0.001 | 0.000  | 549793.000 | 549793.000 | 549793.000   | 549793.000 |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000    | 783.000    | 783.000      | 783.000    |
| 171   | 0   | 6     | 165   | 0   | 0   | GET    | /owner                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 4224.000     | 24.702     |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/buildings2.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23825.000  | 2716050.000  | 4511.711   |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/house1.svg                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2903.000   | 330942.000   | 549.738    |
