+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 20547 | 0   | 20547 | 0     | 0   | 0   | POST   | /api/chair/coordinate               | 0.008 | 0.200 | 749.570 | 0.036 | 0.057 | 0.072 | 0.100 | 0.018  | 29.000     | 29.000     | 595863.000   | 29.000     |
| 346   | 0   | 346   | 0     | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.015 | 1.711 | 111.143 | 0.321 | 0.971 | 1.375 | 1.657 | 0.425  | 42.000     | 2190.000   | 157189.000   | 454.303    |
| 2747  | 0   | 2747  | 0     | 0   | 0   | GET    | /api/app/notification               | 0.002 | 0.275 | 90.118  | 0.033 | 0.076 | 0.099 | 0.145 | 0.032  | 261.000    | 469.000    | 1060290.000  | 385.981    |
| 3160  | 0   | 3160  | 0     | 0   | 0   | GET    | /api/chair/notification             | 0.002 | 0.142 | 62.108  | 0.020 | 0.044 | 0.056 | 0.084 | 0.019  | 35.000     | 272.000    | 717020.000   | 226.905    |
| 208   | 0   | 208   | 0     | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.039 | 1.311 | 37.704  | 0.181 | 0.488 | 0.540 | 0.961 | 0.219  | 30.000     | 30.000     | 6240.000     | 30.000     |
| 463   | 0   | 463   | 0     | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.007 | 0.128 | 11.983  | 0.026 | 0.041 | 0.049 | 0.074 | 0.014  | 0.000      | 0.000      | 0.000        | 0.000      |
| 265   | 0   | 265   | 0     | 0   | 0   | POST   | /api/app/rides                      | 0.009 | 0.168 | 10.404  | 0.039 | 0.084 | 0.099 | 0.125 | 0.029  | 51.000     | 53.000     | 13743.000    | 51.860     |
| 150   | 0   | 150   | 0     | 0   | 0   | GET    | /api/owner/sales                    | 0.010 | 0.439 | 9.345   | 0.062 | 0.136 | 0.201 | 0.365 | 0.066  | 377.000    | 9017.000   | 155378.000   | 1035.853   |
| 349   | 0   | 349   | 0     | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.233 | 7.653   | 0.022 | 0.058 | 0.103 | 0.172 | 0.034  | 12.000     | 2572.000   | 144477.000   | 413.974    |
