+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 30631 | 0   | 30631 | 0     | 0   | 0   | POST   | /api/chair/coordinate               | 0.001 | 0.252 | 837.622 | 0.027 | 0.061 | 0.081 | 0.123 | 0.026  | 29.000     | 29.000     | 888299.000   | 29.000     |
| 3984  | 0   | 3984  | 0     | 0   | 0   | GET    | /api/app/notification               | 0.001 | 0.529 | 284.989 | 0.072 | 0.184 | 0.233 | 0.322 | 0.077  | 261.000    | 470.000    | 1517045.000  | 380.784    |
| 3783  | 0   | 3783  | 0     | 0   | 0   | GET    | /api/chair/notification             | 0.001 | 0.263 | 164.136 | 0.043 | 0.103 | 0.127 | 0.178 | 0.042  | 35.000     | 272.000    | 886428.000   | 234.319    |
| 301   | 0   | 301   | 0     | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.038 | 1.439 | 84.475  | 0.281 | 0.630 | 0.953 | 1.313 | 0.294  | 30.000     | 30.000     | 9030.000     | 30.000     |
| 583   | 0   | 583   | 0     | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.006 | 0.393 | 62.019  | 0.106 | 0.231 | 0.271 | 0.322 | 0.083  | 42.000     | 2552.000   | 217249.000   | 372.640    |
| 384   | 0   | 384   | 0     | 0   | 0   | POST   | /api/app/rides                      | 0.008 | 0.487 | 33.259  | 0.087 | 0.190 | 0.234 | 0.326 | 0.076  | 51.000     | 53.000     | 19935.000    | 51.914     |
| 586   | 0   | 586   | 0     | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.638 | 32.577  | 0.056 | 0.169 | 0.264 | 0.436 | 0.091  | 12.000     | 2167.000   | 267050.000   | 455.717    |
| 693   | 0   | 693   | 0     | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.008 | 0.199 | 30.228  | 0.044 | 0.087 | 0.107 | 0.161 | 0.032  | 0.000      | 0.000      | 0.000        | 0.000      |
| 146   | 0   | 146   | 0     | 0   | 0   | GET    | /api/owner/sales                    | 0.013 | 0.665 | 21.216  | 0.145 | 0.431 | 0.466 | 0.665 | 0.168  | 350.000    | 9017.000   | 178677.000   | 1223.815   |
| 388   | 0   | 388   | 0     | 0   | 0   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.171 | 9.364   | 0.024 | 0.061 | 0.083 | 0.114 | 0.027  | 26.000     | 29.000     | 10651.000    | 27.451     |
| 3276  | 0   | 3272  | 0     | 0   | 4   | GET    | /api/internal/matching              | 0.001 | 0.272 | 7.659   | 0.002 | 0.001 | 0.001 | 0.037 | 0.013  | 0.000      | 150.000    | 600.000      | 0.183      |
| 153   | 0   | 153   | 0     | 0   | 0   | POST   | /api/app/users                      | 0.006 | 0.172 | 5.178   | 0.034 | 0.074 | 0.103 | 0.163 | 0.032  | 86.000     | 86.000     | 13158.000    | 86.000     |
| 113   | 0   | 113   | 0     | 0   | 0   | POST   | /api/chair/activity                 | 0.009 | 0.136 | 4.424   | 0.039 | 0.115 | 0.117 | 0.120 | 0.031  | 0.000      | 0.000      | 0.000        | 0.000      |
| 153   | 0   | 153   | 0     | 0   | 0   | POST   | /api/app/payment-methods            | 0.008 | 0.118 | 4.386   | 0.029 | 0.055 | 0.111 | 0.115 | 0.026  | 0.000      | 0.000      | 0.000        | 0.000      |
| 114   | 0   | 114   | 0     | 0   | 0   | POST   | /api/chair/chairs                   | 0.006 | 0.087 | 2.846   | 0.025 | 0.053 | 0.060 | 0.073 | 0.017  | 75.000     | 75.000     | 8550.000     | 75.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | POST   | /api/initialize                     | 2.450 | 2.450 | 2.450   | 2.450 | 2.450 | 2.450 | 2.450 | 0.000  | 17.000     | 17.000     | 17.000       | 17.000     |
| 166   | 0   | 166   | 0     | 0   | 0   | GET    | /api/owner/chairs                   | 0.002 | 0.096 | 1.625   | 0.010 | 0.030 | 0.044 | 0.065 | 0.015  | 728.000    | 19000.000  | 364896.000   | 2198.169   |
| 21157 | 0   | 3654  | 17503 | 0   | 0   | GET    | /assets.*                           | 0.000 | 0.010 | 0.300   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 184569.000 | 56287689.000 | 2660.476   |
| 5     | 0   | 5     | 0     | 0   | 0   | POST   | /api/owner/owners                   | 0.006 | 0.009 | 0.033   | 0.007 | 0.009 | 0.009 | 0.009 | 0.001  | 125.000    | 125.000    | 625.000      | 125.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /api/owner/sales?                   | 0.031 | 0.031 | 0.031   | 0.031 | 0.031 | 0.031 | 0.031 | 0.000  | 9183.000   | 9183.000   | 9183.000     | 9183.000   |
| 1038  | 0   | 154   | 884   | 0   | 0   | GET    | /images/town.svg                    | 0.000 | 0.014 | 0.017   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 128735.000 | 19825190.000 | 19099.412  |
