+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| 8483  | 0   | 8469 | 0    | 14  | 0   | GET    | /api/chair/notification             | 0.007 | 0.452 | 1019.959 | 0.120 | 0.250 | 0.285 | 0.349 | 0.084  | 0.000      | 267.000    | 932440.000  | 109.919    |
| 1835  | 0   | 1825 | 0    | 10  | 0   | GET    | /api/app/notification               | 0.029 | 0.610 | 552.357  | 0.301 | 0.429 | 0.458 | 0.530 | 0.100  | 0.000      | 437.000    | 712688.000  | 388.386    |
| 2283  | 0   | 2283 | 0    | 0   | 0   | POST   | /api/chair/coordinate               | 0.034 | 0.460 | 436.966  | 0.191 | 0.263 | 0.287 | 0.342 | 0.055  | 29.000     | 29.000     | 66207.000   | 29.000     |
| 79    | 0   | 79   | 0    | 0   | 0   | GET    | /api/owner/chairs                   | 0.161 | 4.282 | 248.717  | 3.148 | 3.817 | 3.994 | 4.282 | 0.553  | 762.000    | 19007.000  | 79614.000   | 1007.772   |
| 21    | 0   | 21   | 0    | 0   | 0   | GET    | /api/app/nearby-chairs              | 3.137 | 4.240 | 80.910   | 3.853 | 4.211 | 4.235 | 4.240 | 0.335  | 42.000     | 898.000    | 7332.000    | 349.143    |
| 1810  | 0   | 1803 | 0    | 0   | 7   | GET    | /api/internal/matching              | 0.000 | 1.323 | 6.740    | 0.004 | 0.002 | 0.002 | 0.044 | 0.036  | 166.000    | 166.000    | 1162.000    | 0.642      |
| 11    | 0   | 11   | 0    | 0   | 0   | GET    | /api/owner/sales                    | 0.165 | 0.680 | 4.998    | 0.454 | 0.499 | 0.680 | 0.680 | 0.114  | 430.000    | 9017.000   | 13398.000   | 1218.000   |
| 20    | 0   | 20   | 0    | 0   | 0   | POST   | /api/app/rides                      | 0.055 | 0.392 | 3.642    | 0.182 | 0.319 | 0.360 | 0.392 | 0.093  | 51.000     | 52.000     | 1035.000    | 51.750     |
| 27    | 0   | 27   | 0    | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.024 | 0.250 | 3.291    | 0.122 | 0.210 | 0.222 | 0.250 | 0.058  | 0.000      | 0.000      | 0.000       | 0.000      |
