+-------+-----+-------+-------+-----+------+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX  | METHOD |                 URI                 |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-------+-----+------+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 66032 | 0   | 66024 | 0     | 0   | 8    | POST   | /api/chair/coordinate               | 0.003 | 0.162 | 1926.287 | 0.029 | 0.048 | 0.055 | 0.075 | 0.014  | 29.000     | 150.000    | 1915896.000   | 29.015     |
| 12679 | 0   | 12673 | 0     | 1   | 5    | GET    | /api/app/notification               | 0.001 | 0.174 | 166.686  | 0.013 | 0.034 | 0.050 | 0.085 | 0.018  | 35.000     | 455.000    | 4154259.000   | 327.649    |
| 983   | 0   | 983   | 0     | 0   | 0    | GET    | /api/app/nearby-chairs              | 0.008 | 1.201 | 122.128  | 0.124 | 0.339 | 0.574 | 0.985 | 0.191  | 42.000     | 1789.000   | 338142.000    | 343.990    |
| 16484 | 0   | 16479 | 0     | 0   | 5    | GET    | /api/chair/notification             | 0.001 | 0.100 | 116.048  | 0.007 | 0.021 | 0.030 | 0.052 | 0.011  | 35.000     | 272.000    | 2182074.000   | 132.375    |
| 409   | 0   | 407   | 0     | 2   | 0    | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.006 | 1.423 | 48.241   | 0.118 | 0.381 | 0.497 | 0.925 | 0.186  | 30.000     | 42.000     | 12294.000     | 30.059     |
| 15    | 0   | 15    | 0     | 0   | 0    | POST   | /api/initialize                     | 2.252 | 2.928 | 36.831   | 2.455 | 2.517 | 2.928 | 2.928 | 0.142  | 17.000     | 17.000     | 255.000       | 17.000     |
| 12495 | 0   | 7642  | 0     | 0   | 4853 | GET    | /api/internal/matching              | 0.010 | 0.070 | 23.620   | 0.002 | 0.002 | 0.004 | 0.017 | 0.004  | 0.000      | 260.000    | 524396.000    | 41.968     |
| 935   | 0   | 935   | 0     | 0   | 0    | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.006 | 0.066 | 19.407   | 0.021 | 0.036 | 0.042 | 0.054 | 0.010  | 0.000      | 0.000      | 0.000         | 0.000      |
| 708   | 0   | 708   | 0     | 0   | 0    | POST   | /api/app/rides                      | 0.006 | 0.126 | 18.379   | 0.026 | 0.050 | 0.062 | 0.099 | 0.018  | 51.000     | 53.000     | 36676.000     | 51.802     |
| 534   | 0   | 534   | 0     | 0   | 0    | GET    | /api/owner/sales                    | 0.006 | 0.178 | 17.605   | 0.033 | 0.066 | 0.091 | 0.149 | 0.027  | 359.000    | 9183.000   | 514921.000    | 964.272    |
| 425   | 0   | 425   | 0     | 0   | 0    | POST   | /api/chair/activity                 | 0.008 | 0.123 | 11.714   | 0.028 | 0.042 | 0.047 | 0.123 | 0.018  | 0.000      | 0.000      | 0.000         | 0.000      |
| 1010  | 0   | 1010  | 0     | 0   | 0    | GET    | /api/app/rides                      | 0.001 | 0.152 | 11.089   | 0.011 | 0.023 | 0.040 | 0.098 | 0.018  | 12.000     | 2504.000   | 345338.000    | 341.919    |
| 456   | 0   | 456   | 0     | 0   | 0    | POST   | /api/app/payment-methods            | 0.006 | 0.117 | 10.565   | 0.023 | 0.037 | 0.052 | 0.114 | 0.017  | 0.000      | 0.000      | 0.000         | 0.000      |
| 458   | 0   | 457   | 0     | 0   | 1    | POST   | /api/app/users                      | 0.004 | 0.073 | 6.219    | 0.014 | 0.026 | 0.033 | 0.058 | 0.010  | 86.000     | 88.000     | 39390.000     | 86.004     |
| 424   | 0   | 424   | 0     | 0   | 0    | POST   | /api/chair/chairs                   | 0.006 | 0.074 | 4.088    | 0.010 | 0.017 | 0.022 | 0.030 | 0.006  | 75.000     | 75.000     | 31800.000     | 75.000     |
| 768   | 0   | 768   | 0     | 0   | 0    | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.046 | 3.351    | 0.004 | 0.010 | 0.016 | 0.028 | 0.005  | 26.000     | 29.000     | 21373.000     | 27.829     |
| 1557  | 0   | 1557  | 0     | 0   | 0    | GET    | /api/owner/chairs                   | 0.001 | 0.032 | 2.755    | 0.002 | 0.003 | 0.005 | 0.013 | 0.002  | 560.000    | 19000.000  | 1608491.000   | 1033.071   |
| 3     | 0   | 0     | 0     | 3   | 0    | -      | -                                   | 0.159 | 0.430 | 0.926    | 0.309 | 0.430 | 0.430 | 0.430 | 0.112  | 150.000    | 150.000    | 450.000       | 150.000    |
| 15    | 0   | 15    | 0     | 0   | 0    | GET    | /api/owner/sales?                   | 0.029 | 0.082 | 0.507    | 0.034 | 0.033 | 0.082 | 0.082 | 0.013  | 9183.000   | 9183.000   | 137745.000    | 9183.000   |
| 58967 | 0   | 12564 | 46403 | 0   | 0    | GET    | /assets.*                           | 0.000 | 0.007 | 0.506    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 184569.000 | 194376276.000 | 3296.357   |
| 75    | 0   | 75    | 0     | 0   | 0    | POST   | /api/owner/owners                   | 0.005 | 0.009 | 0.472    | 0.006 | 0.007 | 0.009 | 0.009 | 0.001  | 125.000    | 125.000    | 9375.000      | 125.000    |
| 3     | 0   | 1     | 1     | 1   | 0    | GET    | /                                   | 0.138 | 0.138 | 0.138    | 0.046 | 0.138 | 0.138 | 0.138 | 0.065  | 248.000    | 615.000    | 863.000       | 287.667    |
| 16    | 0   | 15    | 1     | 0   | 0    | GET    | /images/top-bg.png                  | 0.001 | 0.002 | 0.012    | 0.001 | 0.002 | 0.002 | 0.002 | 0.001  | 549793.000 | 549793.000 | 8246895.000   | 515430.938 |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /images/town.svg                    | 0.000 | 0.004 | 0.006    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 128735.000 | 60891655.000  | 33039.422  |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /images/buildings3.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23793.000  | 11254089.000  | 6106.397   |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /images/buildings2.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23825.000  | 11269225.000  | 6114.609   |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /images/buildings4.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 4582.000   | 2167286.000   | 1175.956   |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /images/house2.svg                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 6430.000   | 3041390.000   | 1650.239   |
| 1631  | 0   | 91    | 1540  | 0   | 0    | GET    | /owner                              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 64064.000     | 39.279     |
| 3459  | 0   | 547   | 2911  | 1   | 0    | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 16958.000  | 9276207.000   | 2681.760   |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /images/buildings6.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9454.000   | 4471742.000   | 2426.339   |
| 15    | 0   | 15    | 0     | 0   | 0    | GET    | /index.html                         | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000    | 704.000    | 10560.000     | 704.000    |
| 15    | 0   | 15    | 0     | 0   | 0    | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000   | 1020.000   | 15300.000     | 1020.000   |
| 15    | 0   | 15    | 0     | 0   | 0    | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000    | 783.000    | 11745.000     | 783.000    |
| 3457  | 0   | 547   | 2910  | 0   | 0    | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 336.000    | 183792.000    | 53.165     |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /images/house1.svg                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2903.000   | 1373119.000   | 745.046    |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /images/buildings1.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 13886.000  | 6568078.000   | 3563.797   |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /images/buildings5.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9858.000   | 4662834.000   | 2530.024   |
| 1843  | 0   | 473   | 1370  | 0   | 0    | GET    | /client                             | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 332992.000    | 180.679    |
