+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| 8004  | 0   | 7987 | 0    | 17  | 0   | GET    | /api/chair/notification             | 0.004 | 0.612 | 1036.511 | 0.129 | 0.268 | 0.309 | 0.379 | 0.089  | 0.000      | 269.000    | 898095.000  | 112.206    |
| 1752  | 0   | 1742 | 0    | 10  | 0   | GET    | /api/app/notification               | 0.002 | 0.775 | 580.609  | 0.331 | 0.464 | 0.505 | 0.600 | 0.105  | 0.000      | 436.000    | 694908.000  | 396.637    |
| 2313  | 0   | 2313 | 0    | 0   | 0   | POST   | /api/chair/coordinate               | 0.028 | 0.496 | 469.788  | 0.203 | 0.284 | 0.309 | 0.364 | 0.060  | 29.000     | 29.000     | 67077.000   | 29.000     |
| 77    | 0   | 77   | 0    | 0   | 0   | GET    | /api/owner/chairs                   | 0.161 | 4.000 | 254.235  | 3.302 | 3.708 | 3.769 | 4.000 | 0.470  | 739.000    | 19007.000  | 77742.000   | 1009.636   |
| 30    | 0   | 30   | 0    | 0   | 0   | GET    | /api/app/nearby-chairs              | 1.320 | 4.693 | 113.094  | 3.770 | 4.361 | 4.507 | 4.693 | 0.801  | 42.000     | 741.000    | 7889.000    | 262.967    |
| 862   | 0   | 859  | 0    | 0   | 3   | GET    | /api/internal/matching              | 0.000 | 1.505 | 8.101    | 0.009 | 0.002 | 0.008 | 0.234 | 0.068  | 166.000    | 166.000    | 498.000     | 0.578      |
| 22    | 0   | 22   | 0    | 0   | 0   | POST   | /api/app/rides                      | 0.133 | 0.457 | 5.460    | 0.248 | 0.345 | 0.394 | 0.457 | 0.091  | 51.000     | 53.000     | 1140.000    | 51.818     |
| 10    | 0   | 10   | 0    | 0   | 0   | GET    | /api/owner/sales                    | 0.130 | 0.587 | 4.142    | 0.414 | 0.584 | 0.587 | 0.587 | 0.137  | 383.000    | 9017.000   | 12742.000   | 1274.200   |
| 31    | 0   | 31   | 0    | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.032 | 0.256 | 3.675    | 0.119 | 0.185 | 0.214 | 0.256 | 0.050  | 0.000      | 0.000      | 0.000       | 0.000      |
| 33    | 0   | 33   | 0    | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.489 | 3.385    | 0.103 | 0.255 | 0.368 | 0.489 | 0.112  | 12.000     | 2158.000   | 8448.000    | 256.000    |
| 8     | 0   | 8    | 0    | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.182 | 0.739 | 2.866    | 0.358 | 0.739 | 0.739 | 0.739 | 0.162  | 30.000     | 30.000     | 240.000     | 30.000     |
| 20    | 0   | 20   | 0    | 0   | 0   | POST   | /api/chair/activity                 | 0.026 | 0.201 | 2.354    | 0.118 | 0.200 | 0.201 | 0.201 | 0.076  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0    | 0   | 0   | POST   | /api/initialize                     | 1.845 | 1.845 | 1.845    | 1.845 | 1.845 | 1.845 | 1.845 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 26    | 0   | 26   | 0    | 0   | 0   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.112 | 1.311    | 0.050 | 0.099 | 0.102 | 0.112 | 0.036  | 26.000     | 29.000     | 719.000     | 27.654     |
