+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| 23362 | 0   | 23362 | 0     | 0   | 0   | POST   | /api/chair/coordinate               | 0.008 | 0.275 | 1036.163 | 0.044 | 0.077 | 0.097 | 0.140 | 0.026  | 29.000     | 29.000     | 677498.000   | 29.000     |
| 2875  | 0   | 2875  | 0     | 0   | 0   | GET    | /api/app/notification               | 0.001 | 0.293 | 128.724  | 0.045 | 0.108 | 0.143 | 0.204 | 0.046  | 262.000    | 455.000    | 1130607.000  | 393.255    |
| 2852  | 0   | 2852  | 0     | 0   | 0   | GET    | /api/chair/notification             | 0.001 | 0.244 | 77.904   | 0.027 | 0.062 | 0.080 | 0.128 | 0.028  | 35.000     | 272.000    | 681487.000   | 238.951    |
| 180   | 0   | 180   | 0     | 0   | 0   | POST   | /api/app/rides/[A-Z0-9]+/evaluation | 0.039 | 0.933 | 28.690   | 0.159 | 0.483 | 0.515 | 0.930 | 0.179  | 30.000     | 30.000     | 5400.000     | 30.000     |
| 350   | 0   | 350   | 0     | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.004 | 0.267 | 28.405   | 0.081 | 0.170 | 0.208 | 0.252 | 0.061  | 42.000     | 1072.000   | 91741.000    | 262.117    |
| 248   | 0   | 248   | 0     | 0   | 0   | POST   | /api/app/rides                      | 0.008 | 0.286 | 14.326   | 0.058 | 0.116 | 0.150 | 0.231 | 0.048  | 51.000     | 53.000     | 12852.000    | 51.823     |
| 432   | 0   | 432   | 0     | 0   | 0   | POST   | /api/chair/rides/[A-Z0-9]+/status   | 0.007 | 0.116 | 13.804   | 0.032 | 0.057 | 0.075 | 0.095 | 0.019  | 0.000      | 0.000      | 0.000        | 0.000      |
| 142   | 0   | 142   | 0     | 0   | 0   | GET    | /api/owner/sales                    | 0.010 | 0.362 | 10.580   | 0.075 | 0.166 | 0.205 | 0.315 | 0.065  | 387.000    | 9017.000   | 133391.000   | 939.373    |
| 353   | 0   | 353   | 0     | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.289 | 10.227   | 0.029 | 0.081 | 0.136 | 0.206 | 0.045  | 12.000     | 2512.000   | 150104.000   | 425.224    |
| 1708  | 0   | 1704  | 0     | 0   | 4   | GET    | /api/internal/matching              | 0.001 | 0.132 | 4.398    | 0.003 | 0.001 | 0.002 | 0.053 | 0.009  | 0.000      | 150.000    | 600.000      | 0.351      |
| 252   | 0   | 252   | 0     | 0   | 0   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.152 | 3.487    | 0.014 | 0.033 | 0.047 | 0.074 | 0.017  | 26.000     | 29.000     | 6942.000     | 27.548     |
| 125   | 0   | 125   | 0     | 0   | 0   | POST   | /api/app/payment-methods            | 0.008 | 0.102 | 3.338    | 0.027 | 0.040 | 0.094 | 0.102 | 0.022  | 0.000      | 0.000      | 0.000        | 0.000      |
| 125   | 0   | 125   | 0     | 0   | 0   | POST   | /api/app/users                      | 0.006 | 0.094 | 3.075    | 0.025 | 0.045 | 0.053 | 0.081 | 0.016  | 86.000     | 86.000     | 10750.000    | 86.000     |
| 78    | 0   | 78    | 0     | 0   | 0   | POST   | /api/chair/activity                 | 0.010 | 0.123 | 2.728    | 0.035 | 0.118 | 0.118 | 0.123 | 0.031  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1     | 0   | 1     | 0     | 0   | 0   | POST   | /api/initialize                     | 2.460 | 2.460 | 2.460    | 2.460 | 2.460 | 2.460 | 2.460 | 0.000  | 17.000     | 17.000     | 17.000       | 17.000     |
| 78    | 0   | 78    | 0     | 0   | 0   | POST   | /api/chair/chairs                   | 0.006 | 0.097 | 1.707    | 0.022 | 0.050 | 0.061 | 0.097 | 0.018  | 75.000     | 75.000     | 5850.000     | 75.000     |
| 166   | 0   | 166   | 0     | 0   | 0   | GET    | /api/owner/chairs                   | 0.001 | 0.054 | 0.995    | 0.006 | 0.014 | 0.021 | 0.039 | 0.008  | 588.000    | 19000.000  | 274002.000   | 1650.614   |
